Load environment configuration
mkdir: created directory '/appsmith-stacks/data/certificate'
mkdir: created directory '/appsmith-stacks/data/certificate/conf'
'/opt/appsmith/editor/index.html' -> '/opt/appsmith/index.html.original'
127.0.0.1 - - [18/Apr/2023:15:47:37 +0000] "GET /rts-api/v1/health-check HTTP/1.1" 200 16 "-" "curl/7.68.0"
127.0.0.1 - - [18/Apr/2023:15:47:44 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.18.0.1 - - [18/Apr/2023:15:47:57 +0000] "GET / HTTP/1.1" 200 1860 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:47:58 +0000] "GET /api/v1/users/me HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:47:58 +0000] "GET /api/v1/users/features HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:47:58 +0000] "GET /api/v1/tenants/current HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:15:47:59 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.18.0.1 - - [18/Apr/2023:15:48:00 +0000] "GET /pageService.js HTTP/1.1" 304 0 "http://localhost:8080/pageService.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:01 +0000] "GET / HTTP/1.1" 304 0 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:01 +0000] "GET /api/v1/tenants/current HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:01 +0000] "GET /api/v1/users/me HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:01 +0000] "GET /api/v1/users/features HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:03 +0000] "GET /pageService.js HTTP/1.1" 304 0 "http://localhost:8080/pageService.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:08 +0000] "GET / HTTP/1.1" 304 0 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:09 +0000] "GET /api/v1/users/features HTTP/1.1" 502 552 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:09 +0000] "GET /api/v1/tenants/current HTTP/1.1" 200 166 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:09 +0000] "GET /api/v1/users/me HTTP/1.1" 200 256 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:11 +0000] "GET /pageService.js HTTP/1.1" 304 0 "http://localhost:8080/pageService.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:15:48:14 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.18.0.1 - - [18/Apr/2023:15:48:25 +0000] "GET /rts/?EIO=4&transport=websocket HTTP/1.1" 101 228 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:26 +0000] "POST /api/v1/users/super HTTP/1.1" 302 0 "http://localhost:8080/setup/welcome" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:26 +0000] "GET /signup-success?redirectUrl=http%3A%2F%2Flocalhost%3A8080%2Fapplications%2F643ebbca180a343b7261002a%2Fpages%2F643ebbca180a343b7261002d%2Fedit&enableFirstTimeUserExperience=true HTTP/1.1" 200 1860 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:27 +0000] "GET /api/v1/users/features HTTP/1.1" 200 254 "http://localhost:8080/signup-success?redirectUrl=http%3A%2F%2Flocalhost%3A8080%2Fapplications%2F643ebbca180a343b7261002a%2Fpages%2F643ebbca180a343b7261002d%2Fedit&enableFirstTimeUserExperience=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
